SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
48	64,00	worst	mixed1_50	0,37	2,16	0	0,22	66,31	86,69	5,83	30,89	17,84	17,84	0,78
49	64,00	pattern	mixed1_50	0,37	3,96	0	0,22	66,28	74,00	7,84	57,71	36,20	36,20	1,07
50	64,00	pidtm	mixed1_50	0,37	3,90	0	0,23	66,79	83,08	7,00	44,05	49,86	44,05	1,25
51	64,00	pidtm_m	mixed1_50	0,37	4,22	88	0,23	66,89	79,06	7,47	41,49	46,51	41,49	1,14
52	64,00	chronos	mixed1_50	0,36	2,47	0	0,22	66,34	80,79	7,50	61,08	32,93	32,93	0,97
53	64,00	chronos_m	mixed1_50	0,36	3,67	94	0,22	66,30	77,13	7,88	62,53	41,30	41,30	1,04
54	64,00	chronos2	mixed1_50	0,35	2,35	0	0,22	66,29	78,44	7,79	67,42	42,38	42,38	1,07
55	64,00	chronos2_m	mixed1_50	0,36	3,38	96	0,22	66,31	75,96	7,92	63,04	44,32	44,32	1,08
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
0	64,00	worst	mixed1_70	0,50	2,43	0	0,29	74,22	88,21	4,55	31,31	17,11	17,11	0,55
1	64,00	pattern	mixed1_70	0,50	4,23	0	0,29	74,13	82,93	5,08	54,83	24,17	24,17	0,66
2	64,00	pidtm	mixed1_70	0,49	3,77	0	0,30	74,74	84,54	4,98	25,11	26,81	25,11	0,65
3	64,00	pidtm_m	mixed1_70	0,49	4,11	58	0,30	74,41	83,84	5,08	24,88	27,86	24,88	0,65
4	64,00	chronos	mixed1_70	0,49	2,65	0	0,29	74,16	84,59	5,06	39,25	24,66	24,66	0,62
5	64,00	chronos_m	mixed1_70	0,48	3,02	41	0,29	73,69	84,31	5,24	26,68	26,42	26,42	0,69
6	64,00	chronos2	mixed1_70	0,50	2,71	0	0,29	74,20	83,16	5,14	46,21	27,86	27,86	0,68
7	64,00	chronos2_m	mixed1_70	0,49	3,33	74	0,29	74,00	83,49	5,19	37,49	27,03	27,03	0,70
SIM ID	PEs	Heuristic	Scenario Name	AvgOccupancy	AvgHop	Migrations	Avg(Power)	Avg(Temp)	Avg(PeakTemp)	MTTF monte	MTTF MPE	MTTF SPE	MTTF	
